# file...... reg1_output.csv
# date...... Mon Aug 20 21:10:59 2018
# user...... xinyuehu
# host...... (null)
# target.... regulator 58
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:01:00 EST,10,8,11,+794959,+315996,+665924,+244364,+1.0845e+06,+446613,+2.54538e+06,+1.00697e+06
2000-01-01 01:01:00 EST,10,8,11,+776457,+304969,+647220,+227216,+1.06778e+06,+432263,+2.49146e+06,+964448
2000-01-01 02:01:00 EST,10,8,11,+762427,+297992,+633239,+212967,+1.05499e+06,+422065,+2.45065e+06,+933024
2000-01-01 03:01:00 EST,10,8,11,+761729,+298737,+629351,+208151,+1.05261e+06,+420463,+2.44369e+06,+927351
2000-01-01 04:01:00 EST,10,8,11,+773794,+306438,+637177,+214739,+1.06974e+06,+435995,+2.48072e+06,+957173
2000-01-01 05:01:00 EST,10,8,11,+780605,+310101,+646716,+223612,+1.08493e+06,+449015,+2.51225e+06,+982729
2000-01-01 06:01:00 EST,10,8,11,+812951,+328613,+671751,+247219,+1.12411e+06,+483239,+2.60881e+06,+1.05907e+06
2000-01-01 07:01:00 EST,10,8,11,+838370,+342278,+696035,+270286,+1.15862e+06,+513569,+2.69303e+06,+1.12613e+06
2000-01-01 08:01:00 EST,10,8,11,+866873,+357202,+718504,+292785,+1.19644e+06,+547244,+2.78182e+06,+1.19723e+06
2000-01-01 09:01:00 EST,10,8,11,+868804,+358070,+714817,+290263,+1.20475e+06,+555416,+2.78837e+06,+1.20375e+06
2000-01-01 10:01:00 EST,10,8,11,+860024,+350623,+701717,+281296,+1.18086e+06,+532043,+2.7426e+06,+1.16396e+06
2000-01-01 11:01:00 EST,10,8,11,+838227,+336101,+681283,+264910,+1.14273e+06,+496431,+2.66224e+06,+1.09744e+06
2000-01-01 12:01:00 EST,10,8,11,+805538,+315571,+655326,+242140,+1.10338e+06,+461070,+2.56425e+06,+1.01878e+06
