# file...... Load671Power.csv
# date...... Mon Aug 20 21:10:59 2018
# user...... xinyuehu
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-01 00:01:00 EST,+217654+128032j,+11836.3+6814.86j,+836.915+486.412j,+53542+20975.2j,+123420+108900j,+324443+237179j
2000-01-01 01:01:00 EST,+212575+125044j,+11432.5+6582.34j,+790.228+459.278j,+51864.2+20317.9j,+119715+105631j,+316191+231146j
2000-01-01 02:01:00 EST,+205471+120865j,+11309.4+6511.49j,+778.124+452.243j,+51454.5+20157.4j,+116567+102853j,+313378+229090j
2000-01-01 03:01:00 EST,+202567+119157j,+11533+6640.22j,+774.665+450.233j,+52115.6+20416.4j,+114625+101139j,+314371+229816j
2000-01-01 04:01:00 EST,+204008+120005j,+12092.8+6962.55j,+767.749+446.213j,+54301.8+21272.9j,+117233+103441j,+326884+238964j
2000-01-01 05:01:00 EST,+208981+122930j,+12704.7+7314.82j,+847.29+492.442j,+54424.7+21321j,+116781+103042j,+334093+244234j
2000-01-01 06:01:00 EST,+218468+128510j,+13510.6+7778.86j,+904.353+525.607j,+58493.6+22915j,+124316+109690j,+354867+259420j
2000-01-01 07:01:00 EST,+228049+134146j,+14391.1+8285.8j,+1004.64+583.896j,+62285.1+24400.3j,+131370+115915j,+372091+272011j
2000-01-01 08:01:00 EST,+241240+141906j,+15928.5+9170.97j,+1058.25+615.05j,+64415.4+25234.9j,+135790+119814j,+388873+284279j
2000-01-01 09:01:00 EST,+244703+143943j,+16493.6+9496.29j,+1094.56+636.155j,+62638.9+24538.9j,+130211+114892j,+393285+287505j
2000-01-01 10:01:00 EST,+250149+147146j,+16316.8+9394.5j,+1094.56+636.155j,+57596.1+22563.4j,+121079+106835j,+368402+269314j
2000-01-01 11:01:00 EST,+249545+146791j,+15451.9+8896.54j,+1035.77+601.985j,+51935+20345.7j,+113137+99826.8j,+338986+247810j
2000-01-01 12:01:00 EST,+243981+143518j,+14417.1+8300.77j,+966.603+561.786j,+47387.5+18564.2j,+104608+92301.5j,+313201+228961j
2000-01-01 13:01:00 EST,+229771+135159j,+12881.5+7416.61j,+944.123+548.721j,+43631.4+17092.7j,+99755.4+88019.5j,+290700+212512j
2000-01-01 14:01:00 EST,+220109+129476j,+11886.6+6843.8j,+909.54+528.622j,+41381.9+16211.4j,+94694+83553.6j,+269822+197249j
2000-01-01 15:01:00 EST,+218637+128610j,+11500.1+6621.26j,+876.686+509.527j,+41074.6+16091.1j,+93459.8+82464.5j,+268231+196086j
2000-01-01 16:01:00 EST,+233003+137061j,+12514+7205.05j,+968.332+562.791j,+45562.5+17849.2j,+99187.1+87518j,+286150+209186j
2000-01-01 17:01:00 EST,+267951+157618j,+15006.4+8640.07j,+1070.35+622.085j,+55683.6+21814.2j,+119178+105157j,+345045+252240j
2000-01-01 18:01:00 EST,+272113+160066j,+15909.5+9159.99j,+1198.31+696.454j,+59674.3+23377.5j,+128863+113702j,+368134+269118j
2000-01-01 19:01:00 EST,+270372+159042j,+15781.2+9086.14j,+1146.44+666.304j,+59821.4+23435.2j,+129632+114381j,+370817+271080j
2000-01-01 20:01:00 EST,+264362+155507j,+15202.3+8752.83j,+1101.48+640.175j,+59858.6+23449.8j,+128090+113021j,+366708+268076j
2000-01-01 21:01:00 EST,+253367+149040j,+14250.7+8204.97j,+1046.14+608.015j,+57394.9+22484.6j,+122119+107752j,+348481+254752j
2000-01-01 22:01:00 EST,+237399+139647j,+12661.4+7289.87j,+951.04+552.741j,+56590.5+22169.5j,+119160+105141j,+330864+241873j
2000-01-01 23:01:00 EST,+220695+129820j,+10981.8+6322.88j,+902.623+524.602j,+51426.6+20146.5j,+108484+95720.8j,+303349+221758j
2000-01-02 00:01:00 EST,+212815+125185j,+10231.3+5890.77j,+797.144+463.298j,+48074.6+18833.4j,+99747.9+88012.9j,+282798+206735j
2000-01-02 01:01:00 EST,+210841+124024j,+9841.36+5666.24j,+757.374+440.183j,+46115.6+18065.9j,+95215.9+84014j,+271352+198368j
2000-01-02 02:01:00 EST,+210624+123896j,+9912.43+5707.16j,+772.936+449.228j,+45475+17814.9j,+91573.2+80799.9j,+266496+194818j
2000-01-02 03:01:00 EST,+212729+125135j,+9940.16+5723.12j,+759.103+441.188j,+46169.6+18087.1j,+92419+81546.2j,+267954+195883j
2000-01-02 04:01:00 EST,+216782+127519j,+10331.9+5948.65j,+774.665+450.233j,+47629.5+18659j,+99043.1+87391j,+280507+205060j
2000-01-02 05:01:00 EST,+235386+138462j,+11231.4+6466.58j,+838.644+487.417j,+47832.5+18738.5j,+102939+90828.7j,+286791+209654j
2000-01-02 06:01:00 EST,+255526+150309j,+12252.3+7054.36j,+923.373+536.661j,+51177+20048.7j,+115655+102049j,+311441+227674j
2000-01-02 07:01:00 EST,+279268+164276j,+13368.5+7697.03j,+949.311+551.736j,+55253.4+21645.7j,+121343+107068j,+333367+243703j
2000-01-02 08:01:00 EST,+293837+172845j,+14039.3+8083.22j,+990.811+575.856j,+58882.8+23067.5j,+124379+109746j,+346882+253583j
2000-01-02 09:01:00 EST,+306114+180067j,+14113.8+8126.13j,+1065.16+619.07j,+60221.8+23592j,+126861+111936j,+352994+258051j
2000-01-02 10:01:00 EST,+305957+179975j,+13862.5+7981.44j,+1035.77+601.985j,+59028.1+23124.4j,+127351+112368j,+348897+255056j
2000-01-02 11:01:00 EST,+301684+177461j,+13255.9+7632.16j,+961.415+558.771j,+55851.2+21879.8j,+122952+108487j,+332338+242951j
2000-01-02 12:01:00 EST,+293454+172620j,+12333.8+7101.26j,+1015.02+589.926j,+52752.5+20665.9j,+116423+102726j,+310672+227112j
2000-01-02 13:01:00 EST,+284359+167270j,+11789.5+6787.91j,+966.603+561.786j,+49499.2+19391.4j,+109046+96217j,+291646+213203j
