Property,Node,phase,min,median,max
V,630,A,2551.835086,2551.855427,2551.866809
A,630,A,3e-06,5e-06,1e-05
P,630,A,545083.812962,835500.175981,1354580.85928
Q,630,A,168634.924283,320155.819866,628467.940872
V,630,B,2521.819991,2521.839616,2521.849159
A,630,B,4.188791,4.188794,4.188802
P,630,B,424626.924744,665225.377237,1160188.27163
Q,630,B,30609.498639,264652.696171,735056.572413
V,630,C,2566.826387,2566.85498,2566.868294
A,630,C,2.094398,2.094402,2.094413
P,630,C,796360.776556,1138071.047029,1871999.41315
Q,630,C,205803.373412,484454.74158,1200837.11816
V,692,A,2446.070394,2503.822372,2525.322745
A,692,A,-0.093133,-0.055654,-0.038307
P,692,A,132318.750673,210161.386543,362343.813186
Q,692,A,-33834.94542,20076.118372,128652.750093
V,692,B,2430.785879,2497.718656,2534.966485
A,692,B,4.159806,4.176795,4.18355
P,692,B,20996.635377,42141.40304,73527.613503
Q,692,B,-207364.791626,-185163.500053,-149966.241149
V,692,C,2214.075907,2415.722078,2490.553421
A,692,C,1.971952,2.024859,2.044603
P,692,C,150249.323125,160041.583799,182260.589547
Q,692,C,-182381.403955,-163235.86018,-117389.26657
V,632,A,2485.440423,2521.682376,2536.074903
A,632,A,-0.049729,-0.030232,-0.020658
P,632,A,544533.605279,834776.990734,1358770.41367
Q,632,A,156195.567964,291220.081444,551239.752645
V,632,B,2446.799755,2495.745075,2521.069397
A,632,B,4.164124,4.177439,4.182362
P,632,B,424647.102556,661244.115031,1136538.37252
Q,632,B,26818.012901,254372.334757,696768.092519
V,632,C,2346.634915,2461.89082,2509.346319
A,632,C,2.024726,2.052623,2.065621
P,632,C,783985.322125,1109831.30281,1783535.04961
Q,632,C,178550.211694,418786.713174,977150.300453
V,633,A,2482.374823,2520.651656,2535.88037
A,633,A,-0.053829,-0.032574,-0.021968
P,633,A,80319.129327,144028.074648,245871.706649
Q,633,A,47885.546791,86805.863992,150842.545769
V,633,B,2447.320184,2496.28918,2521.387781
A,633,B,4.166015,4.178997,4.184061
P,633,B,15809.841936,29210.81429,69014.215914
Q,633,B,9127.460898,16905.028592,40239.197783
V,633,C,2313.293946,2443.617832,2500.182692
A,633,C,2.02016,2.050156,2.064533
P,633,C,161809.494276,315056.339955,532408.860736
Q,633,C,96720.524889,193900.214071,344845.871528
V,634,A,278.17661,285.586574,289.427491
A,634,A,-0.072344,-0.043267,-0.027954
P,634,A,79799.593834,142332.921399,240820.972961
Q,634,A,46940.936804,83725.246552,141659.39361
V,634,B,279.920031,286.972958,290.352615
A,634,B,4.16149,4.1767,4.182002
P,634,B,15789.861154,29141.046716,68608.766621
Q,634,B,9091.132203,16778.178456,39502.017249
V,634,C,245.18718,270.037211,282.570961
A,634,C,1.971876,2.025031,2.052253
P,634,C,159645.038473,306307.515898,503781.468605
Q,634,C,92785.150702,178024.881296,292796.067654
V,6321,A,2471.503466,2515.026474,2532.351423
A,6321,A,-0.06192,-0.037409,-0.025497
P,6321,A,461468.388324,688761.336658,1113729.2517
Q,6321,A,104579.102166,198099.883198,385772.871051
V,6321,B,2443.505384,2496.959601,2525.015004
A,6321,B,4.162465,4.17702,4.182231
P,6321,B,146015.579821,277082.896271,540716.444409
Q,6321,B,-60200.909693,94037.333229,364511.731887
V,6321,C,2311.503292,2448.909963,2503.433396
A,6321,C,2.012114,2.045781,2.060405
P,6321,C,519497.113378,707672.235647,1208472.78128
Q,6321,C,-76796.272141,78726.429114,516850.305118
V,675,A,2436.860673,2500.821083,2525.271455
A,675,A,-0.094694,-0.057261,-0.040009
P,675,A,83613.885965,159425.742991,307023.188202
Q,675,A,-162814.817123,-107238.496264,4961.928922
V,675,B,2431.661058,2499.652846,2537.508045
A,675,B,4.156694,4.174515,4.18093
P,675,B,20608.0,41750.4,73089.6
Q,675,B,-207558.359987,-185338.634912,-150190.497003
V,675,C,2218.088365,2419.964365,2494.679864
A,675,C,1.971072,2.023598,2.043224
P,675,C,16326.4,29136.0,59582.4
Q,675,C,-203347.897162,-181060.351088,-127812.380422
V,611,A,0.0,0.0,0.0
A,611,A,0.0,0.0,0.0
P,611,A,0.0,0.0,0.0
Q,611,A,0.0,0.0,0.0
V,611,B,0.0,0.0,0.0
A,611,B,0.0,0.0,0.0
P,611,B,0.0,0.0,0.0
Q,611,B,0.0,0.0,0.0
V,611,C,2204.840464,2406.673164,2481.571684
A,611,C,1.96669,2.020158,2.040088
P,611,C,164143.02654,175828.062612,179897.511656
Q,611,C,-34036.456335,-33103.932539,-30993.232166
V,671,A,2446.075113,2503.826235,2525.326076
A,671,A,-0.093137,-0.055656,-0.038307
P,671,A,147505.0,283013.0,465467.0
Q,671,A,86767.4,166478.0,273804.0
V,671,B,2430.790476,2497.723195,2534.971003
A,671,B,4.159806,4.176797,4.183551
P,671,B,5237.87,12451.6,28676.5
Q,671,B,3015.74,7169.12,16510.7
V,671,C,2214.082577,2415.728795,2490.560122
A,671,C,1.971951,2.024859,2.044603
P,671,C,3.45833,805.79,1642.71
Q,671,C,2.00997,468.323,954.735
V,652,A,2431.115153,2488.454475,2509.793214
A,652,A,-0.091534,-0.054049,-0.036702
P,652,A,131146.276395,137405.91595,139772.194878
Q,652,A,88113.963849,92319.662009,93909.506736
V,652,B,0.0,0.0,0.0
A,652,B,0.0,0.0,0.0
P,652,B,0.0,0.0,0.0
Q,652,B,0.0,0.0,0.0
V,652,C,0.0,0.0,0.0
A,652,C,0.0,0.0,0.0
P,652,C,0.0,0.0,0.0
Q,652,C,0.0,0.0,0.0
V,645,A,0.0,0.0,0.0
A,645,A,0.0,0.0,0.0
P,645,A,0.0,0.0,0.0
Q,645,A,0.0,0.0,0.0
V,645,B,2405.055605,2471.89391,2505.955516
A,645,B,4.159682,4.174162,4.179502
P,645,B,257097.62289,352124.77813,536643.83787
Q,645,B,68135.066165,141394.82214,284498.98372
V,645,C,2346.49341,2457.58444,2503.090501
A,645,C,2.024211,2.052988,2.066392
P,645,C,77736.119427,82750.038231,84789.857651
Q,645,C,128246.018453,138799.511371,143482.096462
V,650,A,2401.7771,2401.7771,2401.7771
A,650,A,0.0,0.0,0.0
P,650,A,545088.815113,835512.494578,1354615.11024
Q,650,A,168634.916573,320155.80881,628467.922221
V,650,B,2401.77714,2401.77714,2401.77714
A,650,B,4.18879,4.18879,4.18879
P,650,B,424629.768623,665233.39395,1160217.91692
Q,650,B,30609.501447,264652.699082,735056.574543
V,650,C,2401.77714,2401.77714,2401.77714
A,650,C,2.094395,2.094395,2.094395
P,650,C,796371.050916,1138094.200161,1872074.40179
Q,650,C,205803.37535,484454.744291,1200837.12447
V,646,A,0.0,0.0,0.0
A,646,A,0.0,0.0,0.0
P,646,A,0.0,0.0,0.0
Q,646,A,0.0,0.0,0.0
V,646,B,2400.897329,2467.658537,2501.686224
A,646,B,4.158345,4.172841,4.178192
P,646,B,153373.482149,162243.568382,166584.626655
Q,646,B,153.676518,1838.303543,4643.513694
V,646,C,2341.603208,2452.575225,2498.019462
A,646,C,2.024971,2.053749,2.067158
P,646,C,77476.669012,82475.161954,84508.138574
Q,646,C,128039.209,138580.898977,143257.880843
V,684,A,2441.289541,2498.868828,2520.296872
A,684,A,-0.093508,-0.056023,-0.038676
P,684,A,131869.51543,138163.635099,140542.959997
Q,684,A,88162.177137,92370.206615,93960.920853
V,684,B,0.0,0.0,0.0
A,684,B,0.0,0.0,0.0
P,684,B,0.0,0.0,0.0
Q,684,B,0.0,0.0,0.0
V,684,C,2209.387373,2411.145174,2486.013437
A,684,C,1.969754,2.022906,2.042734
P,684,C,164577.073334,176245.264337,180308.577604
Q,684,C,-33618.706585,-32682.569662,-30556.32369
V,680,A,2446.075306,2503.826433,2525.326275
A,680,A,-0.093137,-0.055656,-0.038307
P,680,A,0.0,0.0,0.0
Q,680,A,-0.0,0.0,-0.0
V,680,B,2430.790654,2497.723377,2534.971186
A,680,B,4.159806,4.176797,4.183551
P,680,B,-0.0,0.0,-0.0
Q,680,B,0.0,0.0,0.0
V,680,C,2214.082748,2415.728985,2490.560319
A,680,C,1.971951,2.024859,2.044603
P,680,C,0.0,0.0,0.0
Q,680,C,0.0,0.0,0.0
V,6711,A,2446.075113,2503.826235,2525.326076
A,6711,A,-0.093137,-0.055656,-0.038307
P,6711,A,19601.5,47707.8,120222.0
Q,6711,A,7678.95,18689.6,47097.2
V,6711,B,2430.790476,2497.723195,2534.971003
A,6711,B,4.159806,4.176797,4.183551
P,6711,B,50719.0,104461.0,250500.0
Q,6711,B,44752.1,92171.8,221029.0
V,6711,C,2214.082577,2415.728795,2490.560122
A,6711,C,1.971951,2.024859,2.044603
P,6711,C,151998.0,305829.0,728330.0
Q,6711,C,111116.0,223571.0,532434.0
