# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-01 00:01:00 EST,+69282.3+40754.3j,+100840+58059.5j,+103387+60088j,+84786.1+33215.2j,+70574.7+62271.8j,+134704+98473.5j
2000-01-01 01:01:00 EST,+70990.3+41759j,+98732.3+56845.9j,+99950+58090.6j,+75913.4+29739.3j,+70572.2+62269.6j,+129854+94927.4j
2000-01-01 02:01:00 EST,+70697.6+41586.9j,+98265.9+56577.3j,+99548.6+57857.3j,+79872.8+31290.4j,+70551.2+62251.1j,+133238+97401.2j
2000-01-01 03:01:00 EST,+71612.4+42124.9j,+99431.8+57248.6j,+102143+59365.4j,+81320.7+31857.6j,+70568.1+62266j,+132829+97102.9j
2000-01-01 04:01:00 EST,+69970.3+41159j,+99310.8+57178.9j,+99122+57609.4j,+76067.9+29799.8j,+70571.4+62268.9j,+127429+93154.7j
2000-01-01 05:01:00 EST,+71253.5+41913.8j,+95727.7+55115.9j,+102122+59352.7j,+80550.8+31556j,+70545.8+62246.3j,+131037+95792.8j
2000-01-01 06:01:00 EST,+70840.1+41670.6j,+99044.1+57025.4j,+100774+58569.6j,+75224.3+29469.3j,+70552.3+62252j,+131539+96159.4j
2000-01-01 07:01:00 EST,+70878.1+41693j,+91717.1+52806.8j,+102291+59451j,+83891.7+32864.8j,+70569.8+62267.5j,+130650+95509.4j
2000-01-01 08:01:00 EST,+71354.1+41973j,+99036.9+57021.3j,+100817+58594.4j,+83071.1+32543.3j,+70569.2+62267j,+130918+95705.3j
2000-01-01 09:01:00 EST,+70211.6+41300.9j,+99496.8+57286j,+99772.9+57987.7j,+81543.5+31944.9j,+70564.3+62262.6j,+128232+93742j
2000-01-01 10:01:00 EST,+69597.6+40939.8j,+98316.7+56606.6j,+99917.3+58071.6j,+76581.5+30001j,+70568.4+62266.2j,+128519+93952.2j
2000-01-01 11:01:00 EST,+71625.2+42132.5j,+97745.5+56277.7j,+99265+57692.5j,+81794.6+32043.2j,+70567.1+62265j,+128954+94269.8j
2000-01-01 12:01:00 EST,+71336.3+41962.5j,+93801.9+54007.1j,+101799+59165.3j,+82025.3+32133.6j,+70552.4+62252.2j,+131098+95837.3j
2000-01-01 13:01:00 EST,+71303.8+41943.4j,+99383.1+57220.6j,+100898+58641.7j,+77803.5+30479.7j,+70564.1+62262.4j,+125487+91735.3j
2000-01-01 14:01:00 EST,+72199.9+42470.5j,+93490.2+53827.7j,+102234+59417.8j,+79568.8+31171.3j,+70556.5+62255.8j,+132381+96775.2j
2000-01-01 15:01:00 EST,+69953.2+41149j,+95853.5+55188.4j,+100295+58290.9j,+84052.8+32927.9j,+70557.5+62256.6j,+126032+92134j
2000-01-01 16:01:00 EST,+72008.2+42357.8j,+93608.1+53895.6j,+102470+59555.1j,+79421.2+31113.5j,+70573.5+62270.7j,+127969+93549.9j
2000-01-01 17:01:00 EST,+71361.4+41977.3j,+92532.3+53276.2j,+100085+58169.3j,+81972.4+32112.9j,+70552+62251.8j,+133825+97830.6j
2000-01-01 18:01:00 EST,+69719.9+41011.7j,+94005.4+54124.3j,+103065+59901.2j,+78322.8+30683.2j,+70565.4+62263.6j,+129805+94891.7j
2000-01-01 19:01:00 EST,+70270.9+41335.8j,+98592.8+56765.5j,+101800+59165.7j,+83460+32695.7j,+70546.2+62246.7j,+127718+93366.4j
2000-01-01 20:01:00 EST,+70658.1+41563.6j,+97858.6+56342.8j,+101588+59042.4j,+79963.9+31326.1j,+70553+62252.6j,+129899+94960.3j
2000-01-01 21:01:00 EST,+69686.4+40992j,+92791.1+53425.2j,+99679.3+57933.3j,+76646.2+30026.4j,+70551.7+62251.5j,+131696+96274.6j
2000-01-01 22:01:00 EST,+71243.7+41908.1j,+92022.5+52982.6j,+101206+58820.3j,+80146.9+31397.7j,+70554.8+62254.3j,+127393+93128.4j
2000-01-01 23:01:00 EST,+71816.6+42245.1j,+93706.7+53952.4j,+101013+58708.3j,+79321.1+31074.2j,+70558.3+62257.3j,+134007+97963.4j
2000-01-02 00:01:00 EST,+69460.2+40859j,+98917.4+56952.4j,+102125+59354.5j,+79712.7+31227.7j,+70558.7+62257.7j,+134358+98220j
2000-01-02 01:01:00 EST,+69714+41008.2j,+93647.3+53918.2j,+99377.1+57757.6j,+75572+29605.5j,+70572.8+62270.1j,+133568+97642.5j
2000-01-02 02:01:00 EST,+71154.6+41855.6j,+100789+58029.8j,+99236.6+57676j,+82591.8+32355.5j,+70562.7+62261.2j,+131385+96047.3j
2000-01-02 03:01:00 EST,+72005.8+42356.4j,+100492+57859.2j,+101093+58755.1j,+84248.6+33004.6j,+70554.5+62253.9j,+130972+95745.3j
2000-01-02 04:01:00 EST,+71293.9+41937.6j,+92130.5+53044.8j,+99316+57722.1j,+78085.9+30590.3j,+70545.1+62245.7j,+134532+98347.4j
2000-01-02 05:01:00 EST,+71390+41994.1j,+94733.1+54543.3j,+102942+59829.5j,+79508+31147.5j,+70562+62260.6j,+128960+94274.5j
2000-01-02 06:01:00 EST,+72224.1+42484.8j,+96457.6+55536.2j,+99289+57706.4j,+75081.2+29413.2j,+70561.1+62259.8j,+130800+95619.2j
