# file...... reg1_output.csv
# date...... Wed Aug 15 11:53:41 2018
# user...... hu000007
# host...... (null)
# target.... regulator 58
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:01:00 EST,10,8,11,+772538,+388603,+742016,+198008,+848750,+248104,+2.3633e+06,+834716
2000-01-01 01:01:00 EST,10,8,11,+754118,+376499,+664636,+135757,+840982,+242672,+2.25974e+06,+754929
2000-01-01 02:01:00 EST,10,8,11,+744734,+368082,+696093,+162614,+839127,+240916,+2.27995e+06,+771612
2000-01-01 03:01:00 EST,10,8,11,+746362,+370273,+687730,+155133,+840375,+241077,+2.27447e+06,+766483
2000-01-01 04:01:00 EST,10,8,11,+739712,+366719,+664672,+136001,+832263,+235548,+2.23665e+06,+738268
2000-01-01 05:01:00 EST,10,8,11,+756374,+377941,+650882,+126212,+835168,+235376,+2.24242e+06,+739528
2000-01-01 06:01:00 EST,10,8,11,+754085,+375395,+717371,+180926,+835893,+237151,+2.30735e+06,+793472
2000-01-01 07:01:00 EST,10,8,11,+745781,+368784,+698492,+168383,+839881,+237560,+2.28415e+06,+774726
2000-01-01 08:01:00 EST,10,8,11,+754076,+374027,+696459,+162540,+838175,+239398,+2.28871e+06,+775965
2000-01-01 09:01:00 EST,10,8,11,+752678,+375147,+649646,+123814,+834743,+237494,+2.23707e+06,+736455
2000-01-01 10:01:00 EST,10,8,11,+749875,+373474,+698608,+164488,+840220,+241419,+2.2887e+06,+779382
2000-01-01 11:01:00 EST,10,8,11,+753194,+372791,+722944,+184897,+836198,+237949,+2.31234e+06,+795637
2000-01-01 12:01:00 EST,10,8,11,+748677,+371865,+684415,+155290,+842003,+240565,+2.2751e+06,+767720
2000-01-01 13:01:00 EST,10,8,11,+747137,+369722,+737097,+195802,+837776,+239026,+2.32201e+06,+804550
2000-01-01 14:01:00 EST,10,8,11,+745578,+370750,+642589,+122040,+837761,+236824,+2.22593e+06,+729614
2000-01-01 15:01:00 EST,10,8,11,+761100,+381044,+647675,+123792,+836031,+237096,+2.24481e+06,+741931
2000-01-01 16:01:00 EST,10,8,11,+755973,+377645,+679997,+151547,+838549,+236972,+2.27452e+06,+766165
2000-01-01 17:01:00 EST,10,8,11,+754890,+374816,+691941,+161858,+841416,+240671,+2.28825e+06,+777345
2000-01-01 18:01:00 EST,10,8,11,+752942,+376130,+675922,+148078,+841557,+239589,+2.27042e+06,+763797
2000-01-01 19:01:00 EST,10,8,11,+746704,+370793,+660209,+133347,+833156,+234776,+2.24007e+06,+738916
2000-01-01 20:01:00 EST,10,8,11,+746860,+371092,+687816,+156129,+833810,+234963,+2.26849e+06,+762184
2000-01-01 21:01:00 EST,10,8,11,+744696,+369248,+715155,+180443,+834595,+234819,+2.29445e+06,+784510
2000-01-01 22:01:00 EST,10,8,11,+756680,+378316,+646177,+125340,+835573,+235061,+2.23843e+06,+738717
2000-01-01 23:01:00 EST,10,8,11,+745682,+368642,+718627,+184175,+837866,+237176,+2.30218e+06,+789993
2000-01-02 00:01:00 EST,10,8,11,+744535,+370506,+663046,+134678,+848034,+248145,+2.25562e+06,+753329
2000-01-02 01:01:00 EST,10,8,11,+739591,+366453,+681873,+151902,+834513,+235251,+2.25598e+06,+753606
2000-01-02 02:01:00 EST,10,8,11,+753344,+375350,+649433,+123469,+838901,+242291,+2.24168e+06,+741110
2000-01-02 03:01:00 EST,10,8,11,+761012,+379729,+690688,+157537,+840406,+241589,+2.29211e+06,+778855
2000-01-02 04:01:00 EST,10,8,11,+746090,+368921,+700198,+168559,+840685,+240118,+2.28697e+06,+777598
2000-01-02 05:01:00 EST,10,8,11,+743744,+367521,+722601,+186868,+835999,+234680,+2.30234e+06,+789070
2000-01-02 06:01:00 EST,10,8,11,+741274,+366580,+664958,+137414,+839989,+241541,+2.24622e+06,+745535
2000-01-02 07:01:00 EST,10,8,11,+745356,+368474,+702499,+168292,+845016,+244239,+2.29287e+06,+781006
2000-01-02 08:01:00 EST,10,8,11,+757558,+378419,+675136,+146753,+832611,+233642,+2.26531e+06,+758813
2000-01-02 09:01:00 EST,10,8,11,+747550,+371918,+674653,+143701,+832459,+233746,+2.25466e+06,+749365
2000-01-02 10:01:00 EST,10,8,11,+746764,+371010,+724238,+188181,+836484,+235238,+2.30749e+06,+794429
2000-01-02 11:01:00 EST,10,8,11,+757207,+377216,+705705,+172766,+836440,+234667,+2.29935e+06,+784650
2000-01-02 12:01:00 EST,10,8,11,+747138,+371869,+676383,+145229,+843506,+243880,+2.26703e+06,+760978
2000-01-02 13:01:00 EST,10,8,11,+746393,+368399,+701184,+165004,+837323,+240008,+2.2849e+06,+773411
2000-01-02 14:01:00 EST,10,8,11,+758566,+380525,+648961,+126188,+838476,+236772,+2.246e+06,+743485
2000-01-02 15:01:00 EST,10,8,11,+750784,+373596,+650013,+124647,+836994,+239199,+2.23779e+06,+737441
2000-01-02 16:01:00 EST,10,8,11,+748817,+371468,+699157,+165277,+830371,+231497,+2.27834e+06,+768243
2000-01-02 17:01:00 EST,10,8,11,+750676,+371987,+723945,+187324,+836764,+236489,+2.31139e+06,+795800
2000-01-02 18:01:00 EST,10,8,11,+742435,+366238,+719267,+182979,+835627,+236060,+2.29733e+06,+785277
2000-01-02 19:01:00 EST,10,8,11,+737191,+364460,+694356,+163315,+829718,+230909,+2.26127e+06,+758683
2000-01-02 20:01:00 EST,10,8,11,+755119,+378020,+652734,+125858,+835369,+239028,+2.24322e+06,+742905
2000-01-02 21:01:00 EST,10,8,11,+740172,+366528,+639079,+117935,+837406,+238513,+2.21666e+06,+722976
2000-01-02 22:01:00 EST,10,8,11,+756014,+376957,+693523,+160145,+836529,+238737,+2.28607e+06,+775839
2000-01-02 23:01:00 EST,10,8,11,+758836,+379745,+680608,+150009,+842239,+242218,+2.28168e+06,+771972
2000-01-03 00:01:00 EST,10,8,11,+747138,+373209,+656248,+131068,+841796,+240515,+2.24518e+06,+744792
2000-01-03 01:01:00 EST,10,8,11,+744880,+368748,+697888,+166226,+841981,+241702,+2.28475e+06,+776677
2000-01-03 02:01:00 EST,10,8,11,+752956,+373504,+723628,+188660,+833836,+234208,+2.31042e+06,+796372
2000-01-03 03:01:00 EST,10,8,11,+756418,+378843,+648990,+123299,+839302,+241371,+2.24471e+06,+743513
2000-01-03 04:01:00 EST,10,8,11,+750149,+374622,+685024,+152009,+835818,+236602,+2.27099e+06,+763233
2000-01-03 05:01:00 EST,10,8,11,+749749,+372668,+720991,+184180,+838891,+237702,+2.30963e+06,+794551
2000-01-03 06:01:00 EST,10,8,11,+748289,+371453,+703815,+171749,+830091,+230387,+2.28219e+06,+773588
2000-01-03 07:01:00 EST,10,8,11,+742001,+366485,+721894,+184497,+835641,+237123,+2.29954e+06,+788105
2000-01-03 08:01:00 EST,10,8,11,+752959,+374058,+685993,+155757,+835050,+235954,+2.274e+06,+765770
2000-01-03 09:01:00 EST,10,8,11,+742444,+370164,+664981,+139612,+844452,+243287,+2.25188e+06,+753062
2000-01-03 10:01:00 EST,10,8,11,+749060,+370779,+720870,+183913,+838123,+238704,+2.30805e+06,+793396
2000-01-03 11:01:00 EST,10,8,11,+738847,+363448,+712784,+177733,+830409,+230823,+2.28204e+06,+772004
2000-01-03 12:01:00 EST,10,8,11,+760859,+382086,+661426,+133842,+834689,+235281,+2.25697e+06,+751209
2000-01-03 13:01:00 EST,10,8,11,+763266,+379746,+716251,+181641,+837714,+238075,+2.31723e+06,+799461
2000-01-03 14:01:00 EST,10,8,11,+748759,+370574,+668100,+142943,+833200,+233258,+2.25006e+06,+746775
2000-01-03 15:01:00 EST,10,8,11,+754968,+375733,+716155,+180025,+836066,+236954,+2.30719e+06,+792711
2000-01-03 16:01:00 EST,10,8,11,+750599,+375470,+649972,+125141,+844671,+244670,+2.24524e+06,+745281
2000-01-03 17:01:00 EST,10,8,11,+752311,+374896,+676869,+147062,+845898,+244686,+2.27508e+06,+766644
2000-01-03 18:01:00 EST,10,8,11,+749021,+371198,+710327,+174513,+830248,+232735,+2.2896e+06,+778446
2000-01-03 19:01:00 EST,10,8,11,+743496,+368836,+670620,+142672,+838151,+238940,+2.25227e+06,+750448
2000-01-03 20:01:00 EST,10,8,11,+756135,+379151,+640483,+118373,+835631,+235601,+2.23225e+06,+733126
2000-01-03 21:01:00 EST,10,8,11,+744082,+370404,+649526,+125064,+829394,+230546,+2.223e+06,+726013
2000-01-03 22:01:00 EST,10,8,11,+747280,+371815,+686235,+154868,+836910,+238027,+2.27043e+06,+764711
2000-01-03 23:01:00 EST,10,8,11,+757336,+377176,+706993,+173617,+833538,+234041,+2.29787e+06,+784834
2000-01-04 00:01:00 EST,10,8,11,+751328,+371659,+731332,+193076,+831125,+230910,+2.31379e+06,+795644
2000-01-04 01:01:00 EST,10,8,11,+759805,+379141,+662824,+136728,+826431,+229140,+2.24906e+06,+745008
2000-01-04 02:01:00 EST,10,8,11,+748976,+371665,+725817,+187927,+835472,+236064,+2.31027e+06,+795656
2000-01-04 03:01:00 EST,10,8,11,+757482,+377305,+713373,+179264,+842241,+241740,+2.3131e+06,+798310
2000-01-04 04:01:00 EST,10,8,11,+749533,+371632,+697969,+167351,+838223,+236394,+2.28573e+06,+775377
2000-01-04 05:01:00 EST,10,8,11,+762613,+383688,+667276,+138136,+829023,+230979,+2.25891e+06,+752803
2000-01-04 06:01:00 EST,10,8,11,+743378,+367769,+721956,+186038,+829218,+228677,+2.29455e+06,+782483
2000-01-04 07:01:00 EST,10,8,11,+755935,+377167,+713743,+177585,+837558,+237254,+2.30724e+06,+792006
2000-01-04 08:01:00 EST,10,8,11,+749213,+374752,+697378,+164868,+837446,+235737,+2.28404e+06,+775357
2000-01-04 09:01:00 EST,10,8,11,+749019,+371579,+660425,+136755,+835853,+235671,+2.2453e+06,+744005
2000-01-04 10:01:00 EST,10,8,11,+755717,+378112,+676561,+146720,+843283,+244048,+2.27556e+06,+768880
2000-01-04 11:01:00 EST,10,8,11,+749046,+370213,+694103,+164150,+838068,+237561,+2.28122e+06,+771924
2000-01-04 12:01:00 EST,10,8,11,+748540,+373863,+651710,+127320,+834364,+233885,+2.23461e+06,+735069
2000-01-04 13:01:00 EST,10,8,11,+746771,+370506,+705619,+172150,+839454,+238333,+2.29184e+06,+780988
2000-01-04 14:01:00 EST,10,8,11,+757312,+380511,+649185,+123544,+837671,+239428,+2.24417e+06,+743483
2000-01-04 15:01:00 EST,10,8,11,+752151,+375766,+698272,+164495,+832717,+232715,+2.28314e+06,+772977
2000-01-04 16:01:00 EST,10,8,11,+749230,+369497,+733317,+192444,+834949,+237417,+2.3175e+06,+799359
2000-01-04 17:01:00 EST,10,8,11,+747406,+370953,+677061,+151284,+843144,+240409,+2.26761e+06,+762646
2000-01-04 18:01:00 EST,10,8,11,+738466,+364867,+701536,+169391,+829361,+229308,+2.26936e+06,+763566
